symbol,open,high,low,close,volume
NSE:POWERGRID,342.75,347.0,341.5,342.45001,11363095.0
NSE:POWERGRID,342.0,344.70001,336.95001,341.25,13908161.0
NSE:POWERGRID,339.54999,341.85001,331.0,332.20001,12937990.0
NSE:POWERGRID,330.0,339.4,329.5,337.15,4030737.0
NSE:JSWSTEEL,955.90002,955.90002,934.04999,939.20001,1569620.0
NSE:JSWSTEEL,939.0,940.79999,932.29999,935.29999,1489629.0
NSE:JSWSTEEL,931.0,935.29999,918.90002,925.40002,1483892.0
NSE:JSWSTEEL,927.15002,932.0,915.45001,925.0,2348723.0
NSE:JSWSTEEL,929.95001,937.75,924.0,934.40002,1498780.0
NSE:JSWSTEEL,937.95001,938.70001,926.15002,931.70001,1337839.0
NSE:JSWSTEEL,932.15002,939.34998,928.15002,934.0,1442535.0
NSE:JSWSTEEL,934.34998,935.34998,921.34998,931.45001,1812254.0
NSE:JSWSTEEL,927.0,927.5,886.54999,889.45001,3001973.0
NSE:JSWSTEEL,875.5,892.75,865.15,888.9,1487965.0
NSE:BAJFINANCE,7144.9502,7147.6499,7047.0,7098.25,677705.0
NSE:BAJFINANCE,7109.8501,7142.3999,7042.0,7068.0498,973503.0
NSE:BAJFINANCE,7068.0,7129.3501,7021.0,7054.9502,809714.0
NSE:BAJFINANCE,7087.8999,7087.8999,6930.0,6950.2998,971801.0
NSE:BAJFINANCE,6996.9502,7045.0,6915.0498,7004.2998,1068833.0
NSE:BAJFINANCE,7020.0498,7085.0,6995.25,7065.0,533373.0
NSE:BAJFINANCE,7080.0,7090.0,7005.2002,7050.0,558200.0
NSE:BAJFINANCE,7047.1001,7117.8999,6971.1499,7110.0,864605.0
NSE:BAJFINANCE,7110.0,7110.0,6910.0,6932.2998,938598.0
NSE:BAJFINANCE,6932.0,6958.6,6849.4,6906.75,212784.0
NSE:UPL,572.70001,574.79999,562.15002,567.40002,2695359.0
NSE:UPL,568.0,572.29999,563.0,563.95001,1427039.0
NSE:UPL,566.04999,569.95001,547.34998,559.79999,2033444.0
NSE:UPL,560.84998,566.40002,555.09998,557.70001,3781459.0
NSE:UPL,560.45001,570.95001,558.09998,563.65002,3741532.0
NSE:UPL,566.0,567.5,560.79999,565.04999,1699472.0
NSE:UPL,566.0,572.0,555.5,557.29999,1674706.0
NSE:UPL,557.29999,561.0,554.95001,558.65002,1258371.0
NSE:UPL,558.65002,560.25,541.25,542.59998,1483516.0
NSE:UPL,540.0,557.55,532.85,555.0,997850.0
NSE:TATASTEEL,174.60001,175.47,172.09,172.28,31479861.0
NSE:TATASTEEL,173.60001,173.7,171.50999,171.8,25127904.0
NSE:TATASTEEL,172.5,172.89,167.02,167.98,41525591.0
NSE:TATASTEEL,170.0,170.95,168.67,168.92,33987236.0
NSE:TATASTEEL,170.2,170.39,168.00999,168.69,33311402.0
NSE:TATASTEEL,168.69,168.99001,165.8,166.75999,32635187.0
NSE:TATASTEEL,167.8,169.82001,166.7,167.07001,26505901.0
NSE:TATASTEEL,167.61,167.61,164.44,166.36,36568852.0
NSE:TATASTEEL,166.0,166.09,157.2,157.77,77987514.0
NSE:TATASTEEL,158.4,160.7,156.41,159.89,21915898.0
NSE:DIVISLAB,4629.3999,4649.6499,4445.0,4464.2002,890261.0
NSE:DIVISLAB,4491.3999,4582.8999,4458.0,4551.9502,769145.0
NSE:DIVISLAB,4572.0,4651.8501,4536.7998,4636.9502,550188.0
NSE:DIVISLAB,4656.7002,4660.0,4565.0498,4582.5,559139.0
NSE:DIVISLAB,4590.0,4594.6001,4485.2998,4539.2998,661038.0
NSE:DIVISLAB,4542.0,4604.3501,4536.1001,4567.1001,616728.0
NSE:DIVISLAB,4575.3999,4598.9502,4551.7002,4570.2998,266585.0
NSE:DIVISLAB,4550.0,4603.1001,4515.75,4584.7998,432503.0
NSE:DIVISLAB,4580.0,4587.25,4496.4502,4519.7998,279117.0
NSE:DIVISLAB,4500.0,4577.35,4441.35,4539.5,157142.0
